"Gene","Time","Space","logFC","timeNumber","Time_idx","Space_idx"
"N900_RS03085","1h","st",0.57695,1,1,1
"N900_RS03090","1h","st",3.5641,1,1,1
"N900_RS03095","1h","st",5.6376,1,1,1
"N900_RS03100","1h","st",-0.6499,1,1,1
"N900_RS03105","1h","st",0.26445,1,1,1
"N900_RS03110","1h","st",0.41028,1,1,1
"N900_RS03115","1h","st",-0.79433,1,1,1
"N900_RS03120","1h","st",3.0949,1,1,1
"N900_RS03125","1h","st",3.3099,1,1,1
"N900_RS03130","1h","st",-0.07522,1,1,1
"N900_RS03135","1h","st",3.7472,1,1,1
"N900_RS03140","1h","st",1.7236,1,1,1
"N900_RS03145","1h","st",0.4406,1,1,1
"N900_RS03150","1h","st",3.1562,1,1,1
"N900_RS03155","1h","st",4.4216,1,1,1
"N900_RS03160","1h","st",-0.26812,1,1,1
"N900_RS03240","1h","st",1.6737,1,1,1
"N900_RS03260","1h","st",1.3649,1,1,1
"N900_RS03265","1h","st",-0.65234,1,1,1
"N900_RS03270","1h","st",-0.080567,1,1,1
"N900_RS03275","1h","st",-0.39628,1,1,1
"N900_RS03280","1h","st",0.26632,1,1,1
"N900_RS03285","1h","st",0.0066852,1,1,1
"N900_RS03290","1h","st",-1.5535,1,1,1
"N900_RS03295","1h","st",3.6671,1,1,1
"N900_RS03305","1h","st",0.29361,1,1,1
"N900_RS03310","1h","st",-0.56106,1,1,1
"N900_RS03315","1h","st",0.23113,1,1,1
"N900_RS03320","1h","st",0.50584,1,1,1
"N900_RS03325","1h","st",1.6807,1,1,1
"N900_RS03330","1h","st",3.6635,1,1,1
"N900_RS03335","1h","st",0.0065997,1,1,1
"N900_RS03340","1h","st",-0.050395,1,1,1
"N900_RS03345","1h","st",2.2878,1,1,1
"N900_RS03350","1h","st",-0.021019,1,1,1
"N900_RS03365","1h","st",-0.53337,1,1,1
"N900_RS03370","1h","st",-0.049662,1,1,1
"N900_RS03375","1h","st",3.0151,1,1,1
"N900_RS03380","1h","st",3.484,1,1,1
"N900_RS03390","1h","st",-0.36202,1,1,1
"N900_RS03395","1h","st",-0.3235,1,1,1
"N900_RS03400","1h","st",-0.62492,1,1,1
"N900_RS03405","1h","st",3.9364,1,1,1
"N900_RS03410","1h","st",-0.25233,1,1,1
"N900_RS03415","1h","st",0.010387,1,1,1
"N900_RS03420","1h","st",-0.6685,1,1,1
"N900_RS03425","1h","st",-1.2562,1,1,1
"N900_RS03430","1h","st",0.0023163,1,1,1
