"Gene","Time","Space","logFC","Cluster_DTW","Silhouette_DTW","Cluster_cosine","Silhouette_cosine","GeneName"
"N900_RS01530","1h","st",-0.19543,16,-0.0603662372321412,18,-0.111129702441301,"rlmB"
"N900_RS01675","1h","st",-0.54824,16,-0.0833451434753022,18,-0.294859066413546,"N900_RS01675"
"N900_RS01680","1h","st",-0.54423,5,-0.00806837284187386,6,-0.00742727537872037,"fklB"
"N900_RS01685","1h","st",-0.71638,18,0.0122169953164822,9,-0.138946034944314,"LysM"
"N900_RS01690","1h","st",0.74197,16,5.60697576376774e-05,18,-0.0473724700737113,"eamA_6"
"N900_RS01695","1h","st",0.38703,7,-0.0292979977551462,7,-0.0226120938524825,"elaA"
"N900_RS01700","1h","st",0.42502,16,0.0128173804184404,9,0.0101282555588598,"dbpA"
"N900_RS01705","1h","st",-0.77973,11,-0.0285387080040233,12,0.0603458719420095,"Crp/Fnr family transcriptional regulator_1"
"N900_RS01710","1h","st",0.099349,4,-0.0432961582625115,5,0.0171747887669282,"cpdB"
"N900_RS01715","1h","st",-0.28587,10,-0.154756347680273,6,-0.13496516258875,"cobA"
"N900_RS01720","1h","st",3.5426,13,-0.0631733722909,7,-0.026033863511282,"cysD"
"N900_RS01725","1h","st",1.2016,2,-0.000222218484414042,10,-0.0332940061734484,"cysN"
"N900_RS01730","1h","st",-0.49242,5,0.0506461830101504,6,0.07081533395188,"cysC"
"N900_RS01735","1h","st",0.3166,10,0.00557385730893008,10,0.057643829126141,"N900_RS01735"
"N900_RS01740","1h","st",-0.41089,5,-0.00941882408577072,11,0.137315465416911,"N900_RS01740"
"N900_RS01745","1h","st",0.42471,2,-0.017900915358515,7,0.0368357113107426,"ABC transporter permease_2"
"N900_RS01750","1h","st",3.0924,10,0.0154425993451509,6,-0.0953476745430561,"yknY_1"
"N900_RS01755","1h","st",1.0673,10,0.0142749945896294,6,-0.171788941939269,"N900_RS01755"
"N900_RS01760","1h","st",-0.39614,14,0.0136434632118306,4,0.0711328780975325,"N900_RS01760"
"N900_RS01765","1h","st",-0.19004,13,-0.10112814521653,9,-0.0200691605558258,"ytfj"
"N900_RS01770","1h","st",0.12106,2,-0.0234180386735979,13,0.152003987709682,"msrA"
"N900_RS01775","1h","st",-1.0316,16,-0.0508404307403571,3,-0.064333759436908,"outer membrane protein assembly factor"
"N900_RS01780","1h","st",-0.93111,16,0.0194967659797119,8,0.116388487013911,"tamb"
"N900_RS01785","1h","st",2.538,14,0.0296987174109542,10,-0.0434146232501205,"ytfP"
"N900_RS01795","1h","st",4.7527,13,-0.0606261718882629,2,-0.114185861805139,"fbp"
